Topic,Category,Subcategory,Question
python,Technical,Programming Languages,What is the difference between a list and a tuple in Python?
python,Technical,Programming Languages,Explain how Python's garbage collection works.
python,Technical,Programming Languages,What are decorators in Python? Give an example.
python,Technical,Programming Languages,What is the difference between `deepcopy` and `copy` in Python?
python,Technical,Programming Languages,Explain Python's GIL (Global Interpreter Lock).
python,Technical,Programming Languages,What are generators and how do they differ from regular functions?
python,Technical,Programming Languages,How does exception handling work in Python?
python,Technical,Programming Languages,What is the difference between `@staticmethod` and `@classmethod`?
python,Technical,Programming Languages,Explain list comprehensions with an example.
python,Technical,Programming Languages,What are lambda functions? When would you use them?
python,Technical,Programming Languages,What is `*args` and `**kwargs` in Python?
python,Technical,Programming Languages,Explain the concept of duck typing in Python.
python,Technical,Programming Languages,What is a context manager and how does `with` work?
python,Technical,Programming Languages,What is the difference between `is` and `==` in Python?
python,Technical,Programming Languages,"Explain how `map()`, `filter()`, and `reduce()` work."
python,Technical,Programming Languages,What are Python's built-in data types?
python,Technical,Programming Languages,How do you handle file operations in Python?
python,Technical,Programming Languages,What is PEP 8 and why is it important?
python,Technical,Programming Languages,Explain the MRO (Method Resolution Order) in Python.
python,Technical,Programming Languages,What are metaclasses in Python?
java,Technical,Programming Languages,"What is the difference between JDK, JRE, and JVM?"
java,Technical,Programming Languages,Explain the four pillars of OOP in Java.
java,Technical,Programming Languages,What is the difference between `==` and `.equals()` in Java?
java,Technical,Programming Languages,What are checked and unchecked exceptions in Java?
java,Technical,Programming Languages,Explain the concept of interfaces vs abstract classes in Java.
java,Technical,Programming Languages,What is autoboxing and unboxing in Java?
java,Technical,Programming Languages,Explain the Java Collections Framework.
java,Technical,Programming Languages,What is the difference between ArrayList and LinkedList in Java?
java,Technical,Programming Languages,What are Java generics and why are they used?
java,Technical,Programming Languages,Explain Java's multithreading and the `synchronized` keyword.
java,Technical,Programming Languages,What is the difference between `HashMap` and `Hashtable` in Java?
java,Technical,Programming Languages,What is Java Stream API? Give a use case.
